Company Name,Region,Payment Arrangement,Supporting Documents (URLs)
Clemens Food Group,East,Employee Reimbursement,https://drive.google.com/file/d/1H8FFtlscL8towyZ01K-Ti1Xu95YUO0mk/view?usp=drive_link
Isabella County Transportation Commision,East,Company Paid,https://drive.google.com/file/d/1oeaTtACjMtkBLAnGH4dKNuw__8NSxmrA/view?usp=drive_link
Washtenaw Face Addicition Now,East,Employee Paid,https://drive.google.com/file/d/1vu3GwtvN0kK5hMQ7yuNA_iimKSTNCmZB/view?usp=drive_link
James Medical,West ,Company Paid,https://drive.google.com/file/d/1Dp4P3lNie6Gvd8LV3vhLDCPFAYXTsm9H/view?usp=drive_link
Lambton Chamber of Commerce,East,Employee Paid,https://drive.google.com/file/d/1PLkItmESPpO4Qh66PNEUpYXeFcPV4EYx/view?usp=drive_link
Fraser Health - Greater Vancouver,Canada,Employee Paid,https://drive.google.com/file/d/1rQZWzPSVc99XNT-adMO_JWbhLICu8VHW/view?usp=sharing
Vancouver Coastal Health,Canada,Employee Paid,
New Haven Pet Hospital,West ,Employee Paid,https://drive.google.com/file/d/11RiiyNwFCFp_BWKaNOLWzXqvNBeEHt__/view?usp=drive_link
LKQ - Keep You Moving,West ,Employee Paid,https://drive.google.com/file/d/1Si-GRwZR3hGDwutnrtEtTRadzKmiG9Qa/view?usp=drive_link
LifeBalance,West ,Employee Paid,https://drive.google.com/file/d/1Pkjxo8wQCzJ0QSA4_ybVixvI9HiP4zow/view?usp=drive_link
Neptune Terminals,Canada,Employee Paid,https://drive.google.com/file/d/152u8HLOT-LvPxz2H_iv9WROqmydP9jDF/view?usp=drive_link
Teachers/Staff - Huntington High School,West ,Employee Paid,https://drive.google.com/file/d/1-eUyLWtS4Wr-HfhJR5lcSGZlKZzSdich/view?usp=drive_link
Teachers/Staff - Columbia City High School,West ,Employee Paid,https://drive.google.com/file/d/1uq5qEZ9H3qYsu59vIsjDsOWSN56s7IqX/view?usp=drive_link
Teachers/Staff - Warsaw Community High School,West ,Employee Paid,https://drive.google.com/file/d/1e0cGDQbxWa3q1neOCpV8wYbrRVaZ1fLJ/view?usp=drive_link
